"vehicle_id","year","make","model","description","body_style","drivetrain","mileage.value","mileage.unit","URL","title","price","state_of_vehicle","exterior_color","address.addr1","address.city","address.region","address.country","latitude","longitude","sale_price","image[0].url","fuel_type","transmission","custom_label_0"
"32036","2023","Dodge","Challenger","2023 Dodge Challenger SCAT PACK WIDEBODY AUTO 6.4L V8 (485hp) COUPE","Coupe","","2356","KM","https://www.4guys.co.nz/vehicle-details?id=3302827","2023 Dodge Challenger SCAT PACK WIDEBODY AUTO 6.4L V8 (485hp) COUPE","139800 NZD","USED","Sublime Green","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82048076&w=500&h=375&l=true","Petrol","Automatic","$80k+"
"32062","2018","Kia","Sorento","2018 Kia Sorento LTD 4WD 7 SEATER AUTO 2.2L TURBO DIESEL 5 DOOR","SUV","4WD","45976","KM","https://www.4guys.co.nz/vehicle-details?id=3316878","2018 Kia Sorento LTD 4WD 7 SEATER AUTO 2.2L TURBO DIESEL 5 DOOR","39950 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=79893857&w=500&h=375&l=true","Diesel","Automatic","$20k-$40k"
"32075","2023","BMW","X3","2023 BMW X3 XDRIVE 20D M SPORT AUTO 2.0L TURBO DIESEL 4WD","SUV","4WD","27860","KM","https://www.4guys.co.nz/vehicle-details?id=3325319","2023 BMW X3 XDRIVE 20D M SPORT AUTO 2.0L TURBO DIESEL 4WD","67800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=81585585&w=500&h=375&l=true","Diesel","Automatic","$40k-$80k"
"32105","2015","Holden","Cruze","2015 Holden Cruze EQUIPE (FACELIFT) SEDAN AUTO 1.8L (NZ NEW)","Sedan","","77440","KM","https://www.4guys.co.nz/vehicle-details?id=3344288","2015 Holden Cruze EQUIPE (FACELIFT) SEDAN AUTO 1.8L (NZ NEW)","13800 NZD","USED","Silver","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=83391562&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32128","2014","BMW","523i","2014 BMW 523i TOURING S/W M SPORT AUTO 2.0L TURBO","Other","","52780","KM","https://www.4guys.co.nz/vehicle-details?id=3356050","2014 BMW 523i TOURING S/W M SPORT AUTO 2.0L TURBO","24800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=97113669&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32210","2015","BMW","320i","2015 BMW 320i M SPORT TOURING AUTO 2.0L TURBO S/W","Other","","33960","KM","https://www.4guys.co.nz/vehicle-details?id=3388841","2015 BMW 320i M SPORT TOURING AUTO 2.0L TURBO S/W","25800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82515040&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32265","2018","Volkswagen","Tiguan Allspace","2018 Volkswagen Tiguan Allspace 2.0L 4WD 7 SEATER AUTO 5 DOOR (NZ NEW)","SUV","4WD","71140","KM","https://www.4guys.co.nz/vehicle-details?id=3399063","2018 Volkswagen Tiguan Allspace 2.0L 4WD 7 SEATER AUTO 5 DOOR (NZ NEW)","35800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=91507080&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32270","2020","Volkswagen","Tiguan","2020 Volkswagen Tiguan AUTO ALLSPACE 2.0L TURBO 7STS 4WD","SUV","4WD","56450","KM","https://www.4guys.co.nz/vehicle-details?id=3399064","2020 Volkswagen Tiguan AUTO ALLSPACE 2.0L TURBO 7STS 4WD","39800 NZD","USED","Blue","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82151306&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
"32274","2016","Holden","Cruze","2016 Holden Cruze EQUIPE SEDAN (FACELIFT) AUTO 1.8L (NZ NEW)","Sedan","","64852","KM","https://www.4guys.co.nz/vehicle-details?id=3402764","2016 Holden Cruze EQUIPE SEDAN (FACELIFT) AUTO 1.8L (NZ NEW)","13800 NZD","USED","Black","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82309911&w=500&h=375&l=true","Petrol","Automatic","Under $20k"
"32287","2015","BMW","320i","2015 BMW 320i M SPORT TOURING AUTO 2.0L TURBO 5 DOOR 2WD","Other","","34100","KM","https://www.4guys.co.nz/vehicle-details?id=3408713","2015 BMW 320i M SPORT TOURING AUTO 2.0L TURBO 5 DOOR 2WD","25800 NZD","USED","White","20 Arthur Porter Drive<br/>","Hamilton","Waikato","New Zealand","-37.753925","175.229511","","https://data.autoplay.co.nz/image.ashx?id=82851631&w=500&h=375&l=true","Petrol","Automatic","$20k-$40k"
