vehicle_id,fuel_type,drivetrain,transmission,custom_label_0
33489,Diesel,4WD,Automatic,$20k-$40k
33494,Hybrid,,Automatic,$20k-$40k
33500,Petrol,,Automatic,Under $20k
33501,Petrol,,Automatic,$40k-$80k
33513,Petrol,,Automatic,$20k-$40k
33517,Petrol,4WD,Automatic,$40k-$80k
33512,Petrol,,Automatic,Under $20k
33524,Petrol,4WD,Automatic,$40k-$80k
33525,Petrol,4WD,Automatic,$40k-$80k
33536,Petrol,4WD,Automatic,$20k-$40k
33537,Petrol,,Automatic,Under $20k
33558,Diesel,4WD,Automatic,$20k-$40k
33559,Diesel,4WD,Manual,$80k+
33575,Petrol,,Automatic,$20k-$40k
33579,Petrol,,Automatic,$20k-$40k
33582,Petrol,4WD,Automatic,$20k-$40k
33583,Petrol,4WD,Automatic,$20k-$40k
33587,Diesel,,Automatic,$40k-$80k
33599,Diesel,,Automatic,$20k-$40k
33596,Petrol,,Automatic,Under $20k
33600,Diesel,4WD,Automatic,$20k-$40k
33592,Petrol,,Automatic,$20k-$40k
33613,Petrol,,Automatic,$80k+
33614,Petrol,,Automatic,$20k-$40k
33616,Diesel,4WD,Automatic,$40k-$80k
33624,Petrol,,Automatic,$80k+
33627,Petrol,,Automatic,$80k+
33630,Diesel,,Automatic,$20k-$40k
33634,Petrol,,Automatic,$80k+
33635,Petrol,,Automatic,Under $20k
33636,Diesel,,Automatic,$20k-$40k
33639,Petrol,,Automatic,$40k-$80k
33640,Petrol,,Automatic,$20k-$40k
33642,Petrol,,Automatic,$20k-$40k
33657,Hybrid,,Automatic,Under $20k
33664,Diesel,,Automatic,$20k-$40k
33666,Diesel,,Automatic,$20k-$40k
33669,Diesel,4WD,Automatic,$40k-$80k
33672,Diesel,,Automatic,$20k-$40k
33665,Diesel,4WD,Automatic,$20k-$40k
33656,Petrol,,Automatic,$20k-$40k
33676,Petrol,,Automatic,$40k-$80k
33678,Petrol,,Automatic,$40k-$80k
33699,Petrol,,Automatic,$40k-$80k
33691,Petrol,AWD,Automatic,Under $20k
33703,Petrol,4WD,Automatic,$40k-$80k
33711,Petrol,,Automatic,$20k-$40k
33716,Petrol,,Automatic,$20k-$40k
33719,Diesel,4WD,Automatic,$40k-$80k
33723,Diesel,4WD,Automatic,$40k-$80k
33725,Diesel,,Automatic,$20k-$40k
33726,Diesel,,Automatic,$20k-$40k
33632,Petrol,,Automatic,Under $20k
33729,Petrol,,Automatic,$20k-$40k
33731,Petrol,,Automatic,$20k-$40k
33734,Hybrid,,Automatic,$20k-$40k
33737,Petrol,AWD,Automatic,$20k-$40k
33738,Diesel,,Automatic,$20k-$40k
33745,Diesel,,Manual,$20k-$40k
33747,Diesel,AWD,Automatic,Under $20k
33742,Petrol,,Manual,Under $20k
33750,Petrol,4WD,Automatic,$20k-$40k
33754,Petrol,,Automatic,$20k-$40k
33755,Petrol,,Automatic,Under $20k
33757,Petrol,,Manual,Under $20k
33759,Petrol,,Automatic,$80k+
33756,Diesel,,Automatic,Under $20k
33761,Petrol,4WD,Automatic,Under $20k
33762,Diesel,4WD,Automatic,$20k-$40k
33767,Hybrid,4WD,Automatic,$40k-$80k
33772,Diesel,4WD,Automatic,$20k-$40k
33773,Petrol,,Automatic,$20k-$40k
33769,Petrol,4WD,Automatic,Under $20k
33779,Petrol,,Automatic,Under $20k
33780,Petrol,,Automatic,$20k-$40k
33775,Petrol,,Automatic,Under $20k
33785,Petrol,4WD,Automatic,Under $20k
33786,Diesel,,Automatic,$20k-$40k
33788,Petrol,,Automatic,Under $20k
33789,Petrol,4WD,Automatic,Under $20k
33790,Diesel,4WD,Automatic,$20k-$40k
33792,Hybrid,,Automatic,Under $20k
33795,Petrol,,Automatic,Under $20k
33796,Diesel,,Automatic,$20k-$40k
33797,Diesel,,Automatic,$20k-$40k
33798,Diesel,,Automatic,$20k-$40k
33799,Petrol,AWD,Automatic,$20k-$40k
33800,Petrol,4WD,Automatic,$20k-$40k
33801,Petrol,4WD,Automatic,$20k-$40k
33802,Petrol,4WD,Automatic,$20k-$40k
33805,Petrol,,Automatic,Under $20k
33809,Petrol,,Automatic,$20k-$40k
33811,Petrol,,Automatic,$80k+
33791,Petrol,,Automatic,$20k-$40k
33810,Hybrid,,Automatic,$20k-$40k
33758,Petrol,,Automatic,Under $20k
33807,Petrol,4WD,Automatic,$20k-$40k
33812,Petrol,,Automatic,$20k-$40k
33813,Petrol,,Automatic,$40k-$80k
33563,Diesel,,Automatic,$40k-$80k
33815,Petrol,4WD,Automatic,$20k-$40k
33817,Diesel,4WD,Manual,$20k-$40k
33819,Petrol,,Automatic,Under $20k
33823,Petrol,4WD,Automatic,$20k-$40k
33825,Petrol,,Automatic,$20k-$40k
33826,Petrol,4WD,Automatic,$80k+
33832,Petrol,,Automatic,$80k+
33818,Petrol,4WD,Automatic,Under $20k
33827,Diesel,,Automatic,$20k-$40k
33828,Petrol,4WD,Automatic,$40k-$80k
33829,Petrol,4WD,Automatic,$20k-$40k
33831,Petrol,,Automatic,$20k-$40k
33833,Petrol,4WD,Automatic,$20k-$40k
33834,Diesel,4WD,Automatic,$40k-$80k
33836,Petrol,,Automatic,Under $20k
33839,Petrol,,Automatic,$80k+
33842,Petrol,,Automatic,$20k-$40k
33846,Diesel,4WD,Automatic,$20k-$40k
33806,Petrol,,Automatic,Under $20k
33840,Petrol,,Automatic,Under $20k
33841,Hybrid,,Automatic,$20k-$40k
33851,Petrol,,Automatic,$80k+
33844,Petrol,4WD,Automatic,$20k-$40k
33853,Petrol,,Automatic,Under $20k
