"vehicle_id","title","description","url","make","model","year","mileage.value","mileage.unit","image_link","transmission","body_style","drivetrain","price","exterior_color","state_of_vehicle","fuel_type","sale_price","availability","vehicle_type","address.addr1","address.city","address.region","address.country","latitude","longitude","dealer_name"
"32036","2023 Dodge Challenger Scat Pack Widebody Auto 6.4L V8 (485hp) Coupe","2023 Dodge Challenger Scat Pack Widebody Auto 6.4L V8 (485hp) Coupe","https://www.4guys.co.nz/vehicle-details?id=3302827","Dodge","Challenger","2023","2356","KM","https://data.autoplay.co.nz/image.ashx?id=82048076&w=800&h=600&l=true","Automatic","COUPE","","139800 NZD","Sublime Green","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32062","2018 Kia Sorento Ltd 4WD 7 Seater Auto 2.2L Turbo Diesel 5 Door","2018 Kia Sorento Ltd 4WD 7 Seater Auto 2.2L Turbo Diesel 5 Door","https://www.4guys.co.nz/vehicle-details?id=3316878","Kia","Sorento","2018","45976","KM","https://data.autoplay.co.nz/image.ashx?id=79893857&w=800&h=600&l=true","Automatic","SUV","4X4","39950 NZD","White","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32075","2023 Bmw X3 Xdrive 20D M Sport Auto 2.0L Turbo Diesel 4WD","2023 Bmw X3 Xdrive 20D M Sport Auto 2.0L Turbo Diesel 4WD","https://www.4guys.co.nz/vehicle-details?id=3325319","BMW","X3","2023","27860","KM","https://data.autoplay.co.nz/image.ashx?id=81585585&w=800&h=600&l=true","Automatic","SUV","4X4","67800 NZD","White","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32105","2015 Holden Cruze Equipe (Facelift) Sedan Auto 1.8L (NZ New)","2015 Holden Cruze Equipe (Facelift) Sedan Auto 1.8L (NZ New)","https://www.4guys.co.nz/vehicle-details?id=3344288","Holden","Cruze","2015","77440","KM","https://data.autoplay.co.nz/image.ashx?id=83391562&w=800&h=600&l=true","Automatic","SEDAN","","13800 NZD","Silver","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32128","2014 Bmw 523i Touring S/W M Sport Auto 2.0L Turbo","2014 Bmw 523i Touring S/W M Sport Auto 2.0L Turbo","https://www.4guys.co.nz/vehicle-details?id=3356050","BMW","523i","2014","52780","KM","https://data.autoplay.co.nz/image.ashx?id=97113669&w=800&h=600&l=true","Automatic","OTHER","","24800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32210","2015 Bmw 320i M Sport Touring Auto 2.0L Turbo S/W","2015 Bmw 320i M Sport Touring Auto 2.0L Turbo S/W","https://www.4guys.co.nz/vehicle-details?id=3388841","BMW","320i","2015","33960","KM","https://data.autoplay.co.nz/image.ashx?id=82515040&w=800&h=600&l=true","Automatic","OTHER","","25800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32265","2018 Volkswagen Tiguan Allspace 2.0L 4WD 7 Seater Auto 5 Door (NZ New)","2018 Volkswagen Tiguan Allspace 2.0L 4WD 7 Seater Auto 5 Door (NZ New)","https://www.4guys.co.nz/vehicle-details?id=3399063","Volkswagen","Tiguan Allspace","2018","71140","KM","https://data.autoplay.co.nz/image.ashx?id=91507080&w=800&h=600&l=true","Automatic","SUV","4X4","35800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32270","2020 Volkswagen Tiguan Auto Allspace 2.0L Turbo 7Sts 4WD","2020 Volkswagen Tiguan Auto Allspace 2.0L Turbo 7Sts 4WD","https://www.4guys.co.nz/vehicle-details?id=3399064","Volkswagen","Tiguan","2020","56450","KM","https://data.autoplay.co.nz/image.ashx?id=82151306&w=800&h=600&l=true","Automatic","SUV","4X4","39800 NZD","Blue","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32274","2016 Holden Cruze Equipe Sedan (Facelift) Auto 1.8L (NZ New)","2016 Holden Cruze Equipe Sedan (Facelift) Auto 1.8L (NZ New)","https://www.4guys.co.nz/vehicle-details?id=3402764","Holden","Cruze","2016","64852","KM","https://data.autoplay.co.nz/image.ashx?id=82309911&w=800&h=600&l=true","Automatic","SEDAN","","13800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32287","2015 Bmw 320i M Sport Touring Auto 2.0L Turbo 5 Door 2WD","2015 Bmw 320i M Sport Touring Auto 2.0L Turbo 5 Door 2WD","https://www.4guys.co.nz/vehicle-details?id=3408713","BMW","320i","2015","34100","KM","https://data.autoplay.co.nz/image.ashx?id=82851631&w=800&h=600&l=true","Automatic","OTHER","","25800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32293","2021 Mazda Cx-5 25S L Package Auto 2.5L 5 Door","2021 Mazda Cx-5 25S L Package Auto 2.5L 5 Door","https://www.4guys.co.nz/vehicle-details?id=3410139","Mazda","CX-5","2021","28640","KM","https://data.autoplay.co.nz/image.ashx?id=82851466&w=800&h=600&l=true","Automatic","SUV","","34800 NZD","Grey","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32298","2015 Holden Captiva Ltz 2.2D AWD 7 Seater Auto 2.2L Turbo Diesel 5 Door","2015 Holden Captiva Ltz 2.2D AWD 7 Seater Auto 2.2L Turbo Diesel 5 Door","https://www.4guys.co.nz/vehicle-details?id=3410142","Holden","Captiva","2015","79223","KM","https://data.autoplay.co.nz/image.ashx?id=82514805&w=800&h=600&l=true","Automatic","SUV","AWD","18950 NZD","Black","Used","DIESEL","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32310","2018 Holden Barina Ls 1.6L Hatch Back Auto 5 Door (NZ New)","2018 Holden Barina Ls 1.6L Hatch Back Auto 5 Door (NZ New)","https://www.4guys.co.nz/vehicle-details?id=3413040","Holden","Barina","2018","63290","KM","https://data.autoplay.co.nz/image.ashx?id=82674297&w=800&h=600&l=true","Automatic","HATCHBACK","","13800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32322","2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3418960","Mercedes-Benz","A 180","2014","74060","KM","https://data.autoplay.co.nz/image.ashx?id=83725282&w=800&h=600&l=true","Automatic","HATCHBACK","","17800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32323","2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door","https://www.4guys.co.nz/vehicle-details?id=3418961","Mercedes-Benz","A 180","2014","64045","KM","https://data.autoplay.co.nz/image.ashx?id=83889771&w=800&h=600&l=true","Automatic","HATCHBACK","","19800 NZD","Black","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
"32337","2016 Mercedes-Benz A 180 Amg Sport Auto 1.6L Turbo 5 Door Hatch Back","2016 Mercedes-Benz A 180 Amg Sport Auto 1.6L Turbo 5 Door Hatch Back","https://www.4guys.co.nz/vehicle-details?id=3421583","Mercedes-Benz","A 180","2016","48510","KM","https://data.autoplay.co.nz/image.ashx?id=83725501&w=800&h=600&l=true","Automatic","HATCHBACK","","21800 NZD","White","Used","GASOLINE","","available","car_truck","20 Arthur Porter Drive","Hamilton","Waikato","New Zealand","-37.753925","175.229511","4Guys Autobarn"
