ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
32310,,2018 Holden Barina,https://www.4guys.co.nz/vehicle-details?id=3413040,https://dataapi.autoplay.co.nz/image.ashx?id=82674297&w=500&h=375&l=true,"63,290 km",2018 Holden Barina Ls 1.6L Hatch Back Auto 5 Door (NZ New),Hatchback,13800.00 NZD,,Holden; Barina; 2018; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Holden;{_model}=Barina;{_year}=2018,,,,,,
32322,,2014 Mercedes-Benz A 180,https://www.4guys.co.nz/vehicle-details?id=3418960,https://dataapi.autoplay.co.nz/image.ashx?id=83725282&w=500&h=375&l=true,"74,060 km",2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door,Hatchback,17800.00 NZD,,Mercedes-Benz; A 180; 2014; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mercedes-Benz;{_model}=A_180;{_year}=2014,,,,,,
32323,,2014 Mercedes-Benz A 180,https://www.4guys.co.nz/vehicle-details?id=3418961,https://dataapi.autoplay.co.nz/image.ashx?id=83889771&w=500&h=375&l=true,"64,045 km",2014 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door,Hatchback,19800.00 NZD,,Mercedes-Benz; A 180; 2014; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mercedes-Benz;{_model}=A_180;{_year}=2014,,,,,,
32337,,2016 Mercedes-Benz A 180,https://www.4guys.co.nz/vehicle-details?id=3421583,https://dataapi.autoplay.co.nz/image.ashx?id=83725501&w=500&h=375&l=true,"48,510 km",2016 Mercedes-Benz A 180 Amg Sport Auto 1.6L Turbo 5 Door Hatch Back,Hatchback,21800.00 NZD,,Mercedes-Benz; A 180; 2016; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mercedes-Benz;{_model}=A_180;{_year}=2016,,,,,,
32338,,2023 Mazda Cx-60,https://www.4guys.co.nz/vehicle-details?id=3421584,https://dataapi.autoplay.co.nz/image.ashx?id=83384231&w=500&h=375&l=true,"28,989 km",2023 Mazda Cx-60 Xd-Hv Exclusive Sport Auto 3.3L Diesel Hybrid 5 Door 4Wd,RV/SUV,52800.00 NZD,,Mazda; CX-60; 2023; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-60;{_year}=2023,,,,,,
32339,,2023 Mazda Cx-60,https://www.4guys.co.nz/vehicle-details?id=3421585,https://dataapi.autoplay.co.nz/image.ashx?id=83723361&w=500&h=375&l=true,"20,156 km",2023 Mazda Cx-60 Xd Hybrid Exclusive 4Wd Auto 3.3L Turbo Diesel 5 Door,RV/SUV,52800.00 NZD,,Mazda; CX-60; 2023; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-60;{_year}=2023,,,,,,
32361,,2015 Bmw 320i,https://www.4guys.co.nz/vehicle-details?id=3429281,https://dataapi.autoplay.co.nz/image.ashx?id=97112675&w=500&h=375&l=true,"47,200 km",2015 Bmw 320i Sedan M Sport Auto 2.0L Turbo,Sedan,26800.00 NZD,,BMW; 320i; 2015; Sedan,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=BMW;{_model}=320i;{_year}=2015,,,,,,
32369,,2015 Mercedes-Benz A 180,https://www.4guys.co.nz/vehicle-details?id=3429607,https://dataapi.autoplay.co.nz/image.ashx?id=83724940&w=500&h=375&l=true,"46,930 km",2015 Mercedes-Benz A 180 Sport Hatch Back Auto 1.6L Turbo 5 Door,Hatchback,19800.00 NZD,,Mercedes-Benz; A 180; 2015; Hatchback,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mercedes-Benz;{_model}=A_180;{_year}=2015,,,,,,
32414,,2021 Renault Koleos,https://www.4guys.co.nz/vehicle-details?id=3439506,https://dataapi.autoplay.co.nz/image.ashx?id=84204602&w=500&h=375&l=true,"52,652 km",2021 Renault Koleos Zen Sport 2.5L Auto 2.5L 5 Door (NZ New),RV/SUV,32800.00 NZD,,Renault; Koleos; 2021; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Renault;{_model}=Koleos;{_year}=2021,,,,,,
32436,,2020 Mazda Cx-5,https://www.4guys.co.nz/vehicle-details?id=3445087,https://dataapi.autoplay.co.nz/image.ashx?id=97114155&w=500&h=375&l=true,"27,845 km",2020 Mazda Cx-5 25S L Package 2Wd Auto 2.5L 5 Door,RV/SUV,35800.00 NZD,,Mazda; CX-5; 2020; RV/SUV,"20 Arthur Porter Drive, Hamilton, 3200, New Zealand",,{_make}=Mazda;{_model}=CX-5;{_year}=2020,,,,,,
